name,layer,id,glottocode,year,map_name_full,tessellate,extrude,visibility,Family,Dialect,description
Aritinngithigh,Northern (#5),73,arit1239,traditional,Files for Australian Language Locations,1,0,-1,,,
Muthanthi,Northern (#5),74,,traditional,Files for Australian Language Locations,1,0,-1,,,
Uradhi,Northern (#5),75,urad1239,traditional,Files for Australian Language Locations,1,0,-1,,,
Yupngayth,Northern (#5),76,,traditional,Files for Australian Language Locations,1,0,-1,,,
Ndra'ngith,Northern (#5),77,ndra1239,traditional,Files for Australian Language Locations,1,0,-1,,,
Alngith,Northern (#5),78,alng1239,traditional,Files for Australian Language Locations,1,0,-1,,,
Paaruntyi,Paakantyi,79,darl1243,traditional,Files for Australian Language Locations,1,0,-1,,,
Malak Malak,Northern Daly,80,mull1237,traditional,Files for Australian Language Locations,1,0,-1,,,
Kukatja,Northern (#2),81,kuka1246,traditional,Files for Australian Language Locations,1,0,-1,,y,
Yulparija,Northern (#2),82,yulp1238,traditional,Files for Australian Language Locations,1,0,-1,,,
Nyaki Nyaki,Northern (#3),83,nyun1247,traditional,Files for Australian Language Locations,1,0,-1,,y,
Nganakarti,Northern (#3),84,nhan1238,traditional,Files for Australian Language Locations,1,0,-1,,y,
Balardung,Northern (#3),85,nyun1247,traditional,Files for Australian Language Locations,1,0,-1,,y,
Wajuk,Northern (#3),86,waju1234,traditional,Files for Australian Language Locations,1,0,-1,,,
Kukatj,Northern (#4),87,guga1239,traditional,Files for Australian Language Locations,1,0,-1,,,
Amangu,Northern (#3),88,nhan1238,traditional,Files for Australian Language Locations,1,0,-1,,y,
Wuthathi,Northern (#5),89,wuth1237,traditional,Files for Australian Language Locations,1,0,-1,,,
Mpalityan,Northern (#5),90,mpal1237,traditional,Files for Australian Language Locations,1,0,-1,,,Changed from Mpalitjanh
Mpakwithi,Northern (#5),91,angu1242,traditional,Files for Australian Language Locations,1,0,-1,,,
Atampaya,Northern (#5),92,atam1239,traditional,Files for Australian Language Locations,1,0,-1,,,
Angkamuthi,Northern (#5),93,angg1238,traditional,Files for Australian Language Locations,1,0,-1,,,
Awngthim,Northern (#5),94,awng1245,traditional,Files for Australian Language Locations,1,0,-1,,,
Gudang,Northern (#5),95,guda1244,traditional,Files for Australian Language Locations,1,0,-1,,,
Luthigh,Northern (#5),96,luth1234,traditional,Files for Australian Language Locations,1,0,-1,,,
Duungidjawu,Waka-Kabi,97,duun1241,traditional,Files for Australian Language Locations,1,0,-1,,,
WakaWaka,Waka-Kabi,98,waka1274,traditional,Files for Australian Language Locations,1,0,-1,,,
Guweng,Waka-Kabi,99,gure1255,traditional,Files for Australian Language Locations,1,0,-1,,,
Batyala,Waka-Kabi,100,baty1234,traditional,Files for Australian Language Locations,1,0,-1,,,
GoorengGooreng,Waka-Kabi,101,gure1255,traditional,Files for Australian Language Locations,1,0,-1,,,
Gubbi Gubbi,Waka-Kabi,102,duun1241,traditional,Files for Australian Language Locations,1,0,-1,,,
Yangman,Wardaman,103,yang1288,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Wardaman,Wardaman,104,ward1246,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Warluwarra,Warluwarric,105,warl1256,traditional,Files for Australian Language Locations,1,0,-1,,,
